user_id,degree_centrality,betweenness_centrality,name
100011919706943,0.01137870252312569,1.4697616605180463e-10,Uño Hoñ
100035547289363,0.011236468741586618,7.601700670864346e-09,Ynic Pete
100005495955572,0.011200910296201851,1.3479293709763273e-08,Jelly Bug
100034238886359,0.011195830518289741,9.676214987673215e-09,Li Shad
100009567454274,0.011180591184553411,8.109228551462724e-09,Erskin Irvin
100013730620656,0.011170431628729192,5.4095962528957315e-09,Nfa Leeco
100060105983198,0.010941841622684257,4.564001237465371e-09,TrapLife Rell
100001180322635,0.010941841622684257,2.445861737376766e-10,Roadsta Fari
100009487128415,0.010936761844772146,2.6699661237164713e-09,Aai Jah
100073675503724,0.010906283177299489,5.980037514687637e-09,TrapStar BandMan
100063515892190,0.010865644954002612,6.505219379227397e-09,Luh FortyFirst
100027629118612,0.010779288729496747,3.082328801965909e-10,Mon Wick
100024389114241,0.010428784053561178,7.053961852301123e-09,BiggBag Nate
100010851213651,0.010123997378834598,2.6537440139858337e-09,Tnh Frankie
100045424242038,0.009900487150701772,1.494096384120778e-09,Demetrius White
100063588275088,0.009880168039053333,4.468476848441161e-09,TakeEmfast Youngin
100038619614795,0.009783652258723248,2.1698125531970324e-08,Demetrius Harris
100059604045151,0.0089708877927857,3.85679086504447e-09,Ja Nayy
100023621827338,0.00894548890322515,3.759398142011481e-10,Deundray Haggard
100073386188667,0.008940409125313041,5.015504207373222e-09,Taz Dvinci
100065476471351,0.008899770902016164,3.486365877656889e-09,Slick Da Rulla
100001501975239,0.00880325512168608,1.3342115101223967e-09,Well Lufrod Frost
100021343264364,0.008508628002783718,7.355370996448811e-09,Fbjail Bty Step
100051586036524,0.00846291000157473,9.12233409978772e-09,Jack Williams
100056514235793,0.008346075109596209,5.023874155000337e-09,Ricardo Ramírez
100038954402831,0.008274958218826673,3.6941145119966016e-09,Jonathan Edmond
100043661063289,0.008188601994320808,2.8357709847965352e-09,Spotlight Res
100039122715734,0.008147963771023932,7.484175650876922e-10,Jesse Cummings
100012326432618,0.008122564881463382,1.922836174235192e-09,Robert White
100047680855980,0.007929533320803215,1.6606008990627894e-09,Damon Thomas
100077268026529,0.007914293987066886,7.51951827659774e-09,TrapLife Rell
100010203757472,0.0073656779725590395,3.094117169712965e-08,Micah Honor
100025217747896,0.007345358860910601,5.0401812188864225e-09,Hundun Hundun
100071821758812,0.007309800415525833,8.381707578800189e-10,DaDon Yanna
100046761733491,0.0068729395150844,6.295159543521168e-09,Morrion Hamilton
100033361597365,0.006852620403435962,2.9609263235289606e-10,Jbg Sosa
100062084832545,0.006781503512666426,9.388632247556036e-11,Blac Youngsta
100010942213656,0.006273525721455458,1.4531640480606033e-10,Omar Smith
100002025084444,0.006156690829476935,5.730783616799139e-09,Hamza Laden
100009888675805,0.005897622155959342,4.6126756007574445e-10,Michelle Gilder
100010714541209,0.0056588725940901865,2.7061154312838044e-09,Fred Hooks
100004016716353,0.005582675925408541,7.724440285085686e-10,Demarcus Buffer
100020066156548,0.005557277035847993,7.357659650179166e-12,Thrèe Hunnid Bláckøut
100032441361840,0.005145815024967109,7.326676711422997e-10,Sgg Babyjoe
100078030905655,0.00512041613540656,2.2851045069673887e-10,Kiara Holcombe
100054759073335,0.005028980132988586,1.2537552657703032e-09,Slime Blade
100021879189065,0.004947703686394831,5.089003530635572e-11,Javarius Reid
100001789016239,0.004927384574746392,4.1426801741842014e-14,Mike Ibe
100074288120348,0.004841028350240527,1.3904341002830333e-09,Brazy Bumpo
100012877600662,0.004790230571119431,1.5374281224303272e-10,Bruce Austin
100014476236554,0.004764831681558882,3.4185780366090377e-10,Andrew Bonner
100026515566650,0.004612438344195592,1.7342246296567682e-09,Sakk Chaserr
100044592998556,0.00448544389639285,1.0180602112458116e-09,Roshode Davidson
